Zhang et al. Secondary Follicle and Antral Follicle,Li et al. GV Oocyte library,Sun et al. GV oocyte ,,
2::Q8K3V4;2::A2AMU1,P62908,A0A023T778,,
2::Q8VDF2;2::E9Q5Y5;2::Q7TMI3,Q9WVK5,A0A075B6A0,,
2::B1AQR8,G3UZA0;Q8BGA5,A0A075F5C6,,
2::P16125;2::D3Z7F0,Q91VD9,A0A087WNT1,,
2::Q99LJ6,E9QAS4;E9QAS5;Q6PDQ2,A0A087WNU6,,
2::Q923D2;2::E9PZC4,Q922D8,A0A087WNW8,,
2::Q9R1M5,B1AY13;E9PV45,A0A087WP33,,
2::Q3U9N4;2::H3BJ90;2::H3BLC9,P47809,A0A087WP92,,
2::Q08EC7,Q8VEJ9,A0A087WQ89,,
2::Q9R0P9,Q9Z2V5,A0A087WQH8,,
2::Q3U367,P09103,A0A087WQS2,,
2::E9PXM9,Q9WUK2,A0A087WQT6,,
2::Q61699;2::D3Z027;2::D3Z3I9;2::E9Q0U7,P61222,A0A087WR52,,
2::P54869,A0A0A6YWX1;E9Q9M5;J3KMM1;Q3UJD6,A0A087WS96,,
2::Q91VB8,A0A0A0MQA5;P68368,A0A0A0MQ68,,
2::B2RUF0;2::A0A0A0MQD2;2::J3QNB9;2::Q9Z2C8,P09405,A0A0A0MQ82,,
2::P20239,Q9Z1T1,A0A0A0MQ95,,
2::Q6B966,D3Z3F8;Q8R1X6,A0A0A0MQ99,,
2::Q5PRF0,Q8BY89,A0A0A0MQA5,,
2::Q9R1Z8,Q02248,A0A0A0MQD1,,
2::E9QLL2,F8WJK8;Q99L47,A0A0A0MQE5,,
2::Q9JIX8;2::B8JJ89,P20239,A0A0A0MQF5,,
2::Q9CWE6,A0A0A0MQF6;P16858,A0A0A0MQN4,,
2::F6RR19,Q61656;Q8BTS0,A0A0A6YVS2,,
2::P23242,G3UZI2,A0A0A6YVU8,,
2::P02089,D6RGM2;F6ZFG8;Q6P6M7,A0A0A6YW53,,
2::P51656,A6PWE0;F8VPW8,A0A0A6YWR2,,
2::Q9JKB3,P63038,A0A0A6YX17,,
2::Q9D154;2::I7HJI5;2::Z4YK03,Q9JHU4,A0A0A6YXH3,,
2::P48678;2::D3YUF7,Q9WV98,A0A0A6YXI2,,
2::P62806,Q9WV91,A0A0B4J1F7,,
2::P10630;2::E9Q561;2::Q8BTU6,B1ATD4;B1ATD5;Q8K296;R4GML8,A0A0D2X7Z2,,
2::Q6NSP9,Q99LC8,A0A0G2JEP4,,
2::Q64433,Q9JKF7,A0A0G2JFH5,,
2::Q3UXD9;2::D6RHN4;2::D6RIP0,Q8BTI8,A0A0G2JFT8,,
2::P61027,Q9JIL4,A0A0G2JG52,,
2::Q61739;2::F6VSK8,Q6PGL7,A0A0G2JGN5,,
2::P35278;2::A2A5F5;2::A2A5F6;2::Q8C266,Q9CZS1,A0A0G2JGQ4,,
2::P10761,Q61584,A0A0G2JGW6,,
2::Q91VL8,P58252,A0A0G2JGW9,,
2::P07901;2::A2A6A2;2::B7ZC49;2::B7ZC50,Q9DAR7,A0A0G2JH17,,
2::E9Q718,P68510,A0A0J9YTR2,,
2::Q6ZWN5;2::D3YUV6;2::D3YWH9;2::D3Z673,Q5SXR6;Q68FD5,A0A0J9YUD5,,
2::E0CYW1,A0A0A0MQM0;P63242,A0A0J9YUL3,,
2::Q07076,Q91YW3,A0A0M3HEP7,,
2::Q8K2B3,P05064,A0A0M3HEQ0,,
2::P07724,Q9JKR6,A0A0M3U1B0,,
2::Q9WTX6;2::D3Z2H3;2::Q3TPM3,Q8QZT1,A0A0N4SVL0,,
2::Q9WTX5;2::E9PUV4;2::E9Q3Q7,Q9CZ44,A0A0N4SW28,,
2::P11087,O08997,A0A0N4SW73,,
2::P03991;2::A0A0B4J1G3;2::G3UXW2,G3X9Z0;H3BJ52;Q8R060,A0A0N4SW93,,
2::P52480,D3Z7X0,A0A0N4SWI3,,
2::Q9CWH6,Q80UM7,A0A0R4IZW5,,
2::Q3UH59;2::Q5SV64;2::Q8BXF2,P10287,A0A0R4IZW7,,
2::P09411;2::S4R2M7,O88544,A0A0R4IZX1,,
2::Q62005,Q9JHI5,A0A0R4IZX6,,
2::Q3V3R4,Q9DCD0,A0A0R4IZY0,,
2::G5E823,O70318,A0A0R4J008,,
2::Q9JLM9;2::A2ASX3;2::A2ASX4,P08228,A0A0R4J018,,
2::Q61206,P19253,A0A0R4J023,,
2::F8WIX8,P54729,A0A0R4J024,,
2::F8WIV2;2::E9PYY0;2::E9PZQ9;2::E9Q0P9;2::E9Q3Y1;2::K7E6F1,Q03265,A0A0R4J034,,
2::O35685,D3Z041;P41216,A0A0R4J049,,
2::F8WHL2;2::F6XJN3,P62754,A0A0R4J050,,
2::Q8C0L6;2::Q3TXR6,O55013,A0A0R4J078,,
2::P70261,O08759,A0A0R4J079,,
2::D3Z125,P61219,A0A0R4J083,,
2::Q9CQS7;2::P85965,H3BL37;O08784,A0A0R4J091,,
2::P56391,Q3U1J4,A0A0R4J093,,
2::F8VQ95,Q62419,A0A0R4J094,,
2::P17182;2::B0QZL1;2::B1ARR6;2::B1ARR7;2::D3YVD3;2::J3QPZ9;2::Q6PHC1,Q78PY7,A0A0R4J0B4,,
2::P27612;2::F7D1R5,H3BJL6;H3BKH6;H3BLJ9;Q9R0P3,A0A0R4J0B5,,
2::E9QPX1,F8VPU6,A0A0R4J0D1,,
2::Q3URK1,F8WHL2;Q8CIE6,A0A0R4J0D3,,
2::Q00612;2::A3KG36,P46467,A0A0R4J0F6,,
2::Q8C6B0;2::H3BJI7,O54946,A0A0R4J0G4,,
2::P51859;2::E0CXA0;2::E0CYW7,Q00612,A0A0R4J0G7,,
2::Q05DV2,Q9EQ20,A0A0R4J0I6,,
2::A8DUK4;2::E9Q223,A2AKU9;Q8C2Q8;Q91VR2,A0A0R4J0J8,,
2::D3Z5E1,Q9EQH3,A0A0R4J0K1,,
2::P18760;2::F8WGL3,Q99N87,A0A0R4J0K4,,
2::P15626;2::D3YX76,E9PYA3;G5E8T9;Q99KB8,A0A0R4J0L5,,
2::Q9JII6;2::B1AXW3,Q8CHT0,A0A0R4J0L6,,
2::Q9D8E6,P70398;Q4FE56,A0A0R4J0M1,,
2::Q6HA09;2::A2ARG6,P17918,A0A0R4J0M5,,
2::Q8BHL5;2::F6YXR3,Q6ZWX6,A0A0R4J0M9,,
2::P54823,A0A0A6YX73;Q8K1M3,A0A0R4J0N5,,
2::P20152;2::A0A0A6YWC8;2::A2AKJ2,P48774,A0A0R4J0P5,,
2::P25206,P52480,A0A0R4J0Q5,,
2::Q9JJF0,A0A087WQQ5;F8VQC7,A0A0R4J0Q9,,
2::Q8R3C6,P09528,A0A0R4J0R1,,
2::E9Q3G5,Q61171,A0A0R4J0S3,,
2::A2AFJ8,P16045,A0A0R4J0S7,,
2::Q8CAQ8;2::E9PVS5;2::E9Q800;2::E9QAY6;2::Q3TZK4,Q9WTX6,A0A0R4J0T0,,
2::P35700;2::B1AXW4;2::B1AXW5,O35074,A0A0R4J0T8,,
2::P62911;2::P17932,Q149F3,A0A0R4J0W0,,
2::Q60848,P50516,A0A0R4J0W6,,
2::P24472,Q61233,A0A0R4J0Z1,,
2::Q91X76,P70362,A0A0R4J101,,
2::P21981;2::G3UXE8,Q9DBJ3,A0A0R4J104,,
2::E9PZ26,Q9CPU2,A0A0R4J117,,
2::Q9CWU5;2::G3UXW5,Q9DBF1,A0A0R4J124,,
2::Q61233;2::D3YVW8,Q9JJV2,A0A0R4J140,,
2::P62918,Q6B966,A0A0R4J187,,
2::P62962;1::P02584;2::J3QMC2;2::Q5SX49,J3QPB7;Q5VCS6,A0A0R4J1E2,,
2::Q9JIK5,Q9WUD1,Q91X78,,
2::Q8K310;2::A0A087WNP3;2::A0A087WNW7;2::A0A087WQ54;2::A0A087WQD6;2::A0A087WQZ1;2::A0A087WSU2,Q9D1I6,A0A0R4J1I3,,
2::Q7TQI3;2::D3YWF6;2::D3Z7K0,O08529,A0A0R4J1L9,,
2::P10649;2::A2AE89,Q61247,A0A0R4J1R1,,
2::A1L349,Q8CAY6,A0A0R4J1V0,,
2::Q80Y44,E9Q3P4,A0A0R4J1V1,,
2::Q8C2W3;2::Q8VI95,Q8BGQ7,A0A0R4J1W7,,
2::P24815;2::A2AEP7;2::A2AEP8;2::E9PXG7;2::O35469,Q9CPU0,A0A0R4J1Y3,,
2::Q8BKG3,Q5SXG1;Q5SXG3,A0A0R4J206,,
2::Q9Z1X4;2::Q45VK5,Q8R4X3;V9GXJ1,A0A0R4J212,,
2::P22935,Q6GT24,A0A0R4J215,,
2::F8WJK8;2::E9Q1V0;2::E9Q1X9,Q9Z0G0,A0A0R4J225,,
2::P17751;2::H7BXC3,P70236,A0A0R4J242,,
2::I7HFT9,P56380,A0A0R4J275,,
2::Q9CQV8;2::A2A5N1,Q99L45,A0A0R4J2A3,,
2::Q9CWU9,P58802;Q5SPX8,A0A0U1RNF2,,
2::P61079,Q62189,A0A0U1RNX4,,
2::O70400;2::S4R1V0,Q8C6J9,A0A0U1RQ37,,
2::P97370,G3X8T3;P16675,A0A0X1KG67,,
2::Q99KP3,Q3UHK6,A0A140LHG8,,
2::Q8C196,F6TVX7;Q8BSF4,A0A140LHH8,,
2::Q04857,Q61191,A0A140LIU8,,
2::P19253;2::E9Q5A0;2::S4R281,P47962,A0A140LJ04,,
2::Q9Z2D6;2::D3YY81,P67778,A0A140LJB7,,
2::E9PWQ3;2::A0A087WS16;2::D3YWD1,O88844,A0A140LJJ5,,
